id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
0,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,328683.159,328747.177,64.01800000004005,170.075,173.235,175.125,159.51,1.8899999999999864,68.50075889014909,9.488555803055055,284.08075108618084,20.74470014326908,329.585,71.2451050296165,284.5540366641195,159.5211967106566
1,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,328995.193,329063.199,68.00599999999395,345.28499999999997,168.115,178.325,82.18500000000006,10.20999999999998,31.81868598371621,10.502773647142645,142.74720764195598,39.06634698269447,427.47,35.34120717707844,143.57399495054955,82.81677562547343
2,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,329423.075,329483.064,59.9890000000014,462.805,154.935,165.48000000000002,108.76499999999993,10.545000000000016,50.29307847815231,8.005554806143655,175.86432968303924,22.399692764547147,571.5699999999999,52.68221521228391,176.03547999650596,109.27498455730837
3,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,329743.065,329775.07,32.00500000000466,582.4200000000001,165.21499999999997,160.55,97.7050000000001,4.664999999999964,80.31454389828058,7.130728694318744,309.14371042450404,13.186536313182387,484.715,81.06945925220676,309.4248187120233,97.81630360016688
4,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,330143.065,330175.049,31.98399999999674,476.565,166.265,185.185,101.94,18.920000000000016,87.4744190616057,15.561974693411475,273.5025277499013,37.342159147857025,578.505,93.05795171828255,273.50407917430573,103.68090470284295
5,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,330982.969,330990.968,7.99900000001071,581.2950000000001,172.675,175.79500000000002,1.8500000000001364,3.1200000000000045,6.084357662531731,10.261004046431736,6.348224234207525,11.279256746687253,579.4449999999999,11.95268768174149,12.692507604741595,3.6272441329472893
6,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,331482.933,331490.935,8.00199999997858,716.035,162.32999999999998,168.58499999999998,0.94500000000005,6.2549999999999955,3.10677363476867,20.56388263013438,6.114919535100334,28.667794809715826,715.0899999999999,20.886533115499564,29.3127054393265,6.325982137186291
7,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,332322.659,332366.701,44.04200000001583,721.635,167.56,172.85,79.40999999999997,5.289999999999992,48.799901152837315,19.866350203838017,165.89895984883637,46.74737026959635,801.045,57.9452339709778,170.27843183064317,79.58600505113945
8,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,333282.811,333306.807,23.995999999984633,839.9300000000001,193.16,198.065,93.94499999999994,4.905000000000001,102.99622410529848,12.459663267848017,244.6533256685408,24.531561320783023,933.875,104.79802770141261,245.0175238019282,94.07296131195184
9,T1_Syllables,1003,b,s7_stimuli_t1.jpg,12,333662.505,333686.492,23.987000000022817,962.05,161.755,152.57999999999998,88.81500000000005,9.175000000000011,97.36542198542624,10.806019933704569,274.1878797489109,22.761508653217195,1050.865,99.42475853635175,274.196997864224,89.28765228182456
