id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
0,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,367984.076,368020.082,36.005999999993946,145.355,129.36,124.97,199.75000000000003,4.390000000000015,147.250049550856,7.810611561751576,595.5142605225184,18.903649100443477,345.105,149.01264273117224,595.5145881199784,199.7982347269365
1,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,368171.941,368187.925,15.98399999999674,367.07000000000005,137.715,148.015,23.70500000000004,10.299999999999983,39.01493055445824,16.952279464637822,50.72517020434878,41.47547985499592,343.365,43.7910755201903,65.49748055646802,25.846025323055024
2,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,368435.916,368455.911,19.994999999995343,319.72,131.48000000000002,145.57999999999998,112.83999999999997,14.099999999999966,148.4629269612537,27.747989450688237,377.37397222306714,68.35031066674212,432.56,158.25023751303712,377.7321691911485,113.71752547430846
3,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,369003.909,369027.9,23.991000000038184,458.885,137.895,131.7,91.96500000000003,6.195000000000022,100.84551912136364,21.454935884818056,315.35206646009954,36.848650436651944,366.91999999999996,107.95610867230276,316.3653639048261,92.17341943315333
4,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,369343.911,369367.915,24.00399999995716,325.755,133.725,139.005,118.60000000000002,5.280000000000001,130.72444571907974,35.9686758659953,334.57815112210704,84.98423117329722,444.355,149.24954222502765,334.62427985276315,118.71747301892844
5,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,369683.637,369711.645,28.008000000030734,453.82000000000005,138.94,138.7,92.29999999999995,0.2400000000000091,89.10421360550062,9.804426931688036,270.99415853860967,19.64997253364622,546.12,90.11601032670622,271.49998850576105,92.30031202547471
6,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,369939.759,369947.763,8.00399999995716,576.675,151.25,143.285,2.1649999999999636,7.965000000000003,7.608871764910805,26.179120348817776,14.724728080691031,46.47492300468083,578.8399999999999,31.16705762481694,46.477537935266035,8.25399600193748
7,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,370503.917,370535.92,32.00299999996787,597.5699999999999,160.66500000000002,167.57,110.50500000000011,6.904999999999973,92.52160310196201,20.58035565613833,319.9154946024591,56.00167416795355,708.075,98.34359864216079,320.22623237768954,110.72052226213542
8,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,371063.528,371119.474,55.945999999996275,713.895,166.955,156.95999999999998,104.53999999999996,9.995000000000033,50.34294468168232,9.877381349851493,207.93698908557576,34.990821497224424,609.355,53.571437054408186,210.86049658251656,105.01672069246875
9,T1_Syllables,1009,b,s7_stimuli_t1.jpg,12,371383.643,371427.661,44.01800000004005,608.55,142.565,151.53500000000003,101.17000000000007,8.970000000000027,64.36826640601134,12.34729774389981,341.4953677642396,25.768274141209307,709.72,67.39733146448641,342.3910305401808,101.56687353660156
